Team,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Conference,Season,T
JAX,5,11,.313,302,367,-65,-4.1,1.6,-2.5,-2.1,-0.4,AFC,2008,0
SDG,8,8,.500,439,347,92,5.8,-0.8,5.0,5.0,0.0,AFC,2008,0
DEN,8,8,.500,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,AFC,2008,0
OAK,5,11,.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1.0,AFC,2008,0
KAN,2,14,.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,AFC,2008,0
NYG,12,4,.750,427,294,133,8.3,0.1,8.4,5.5,2.8,NFC,2008,0
PHI,9,6,.594,416,289,127,7.9,-0.1,7.8,4.7,3.2,NFC,2008,1
DAL,9,7,.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,NFC,2008,0
WAS,8,8,.500,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,NFC,2008,0
MIN,10,6,.625,379,333,46,2.9,1.2,4.0,1.1,2.9,NFC,2008,0
CHI,9,7,.563,375,350,25,1.6,0.5,2.1,1.1,1.0,NFC,2008,0
GNB,6,10,.375,419,380,39,2.4,0.5,2.9,4.1,-1.2,NFC,2008,0
DET,0,16,.000,268,517,-249,-15.6,2.5,-13.1,-4.0,-9.1,NFC,2008,0
CAR,12,4,.750,414,329,85,5.3,0.3,5.6,2.8,2.9,NFC,2008,0
ATL,11,5,.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,NFC,2008,0
TAM,9,7,.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,NFC,2008,0
NOR,8,8,.500,463,393,70,4.4,-0.3,4.0,6.8,-2.8,NFC,2008,0
ARI,9,7,.563,427,426,1,0.1,-1.9,-1.9,4.1,-6.0,NFC,2008,0
SFO,7,9,.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4,NFC,2008,0
SEA,4,12,.250,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,NFC,2008,0
STL,2,14,.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7.0,NFC,2008,0
NWE,10,6,.625,427,285,142,8.9,2.3,11.2,6.7,4.5,AFC,2009,
NYJ,9,7,.563,348,236,112,7.0,1.6,8.6,1.1,7.5,AFC,2009,
MIA,7,9,.438,360,390,-30,-1.9,3.6,1.7,2.9,-1.2,AFC,2009,
BUF,6,10,.375,258,326,-68,-4.3,2.4,-1.8,-4.5,2.7,AFC,2009,
CIN,10,6,.625,305,291,14,0.9,-0.2,0.7,-2.5,3.2,AFC,2009,
BAL,9,7,.563,391,261,130,8.1,-0.7,7.5,2.6,4.9,AFC,2009,
PIT,9,7,.563,368,324,44,2.8,-1.1,1.7,1.0,0.7,AFC,2009,
CLE,5,11,.313,245,375,-130,-8.1,-0.3,-8.4,-6.0,-2.4,AFC,2009,
IND,14,2,.875,416,307,109,6.8,-0.9,5.9,4.4,1.5,AFC,2009,
HOU,9,7,.563,388,333,55,3.4,-1.5,2.0,2.7,-0.7,AFC,2009,
TEN,8,8,.500,354,402,-48,-3.0,0.2,-2.8,0.9,-3.6,AFC,2009,
JAX,7,9,.438,290,380,-90,-5.6,-0.9,-6.5,-3.8,-2.6,AFC,2009,
SDG,13,3,.813,454,320,134,8.4,-1.7,6.6,6.4,0.2,AFC,2009,
DEN,8,8,.500,326,324,2,0.1,0.2,0.3,-1.0,1.3,AFC,2009,
OAK,5,11,.313,197,379,-182,-11.4,1.1,-10.3,-8.7,-1.6,AFC,2009,
KAN,4,12,.250,294,424,-130,-8.1,-0.3,-8.4,-2.5,-5.9,AFC,2009,
DAL,11,5,.688,361,250,111,6.9,0.2,7.1,0.4,6.7,NFC,2009,
PHI,11,5,.688,429,337,92,5.8,0.2,6.0,5.8,0.2,NFC,2009,
NYG,8,8,.500,402,427,-25,-1.6,1.6,0.1,4.6,-4.5,NFC,2009,
WAS,4,12,.250,266,336,-70,-4.4,-0.2,-4.6,-5.5,1.0,NFC,2009,
MIN,12,4,.750,470,312,158,9.9,-2.7,7.2,6.6,0.6,NFC,2009,
GNB,11,5,.688,461,297,164,10.3,-2.9,7.4,6.3,1.1,NFC,2009,
CHI,7,9,.438,327,375,-48,-3.0,-0.9,-3.9,-1.9,-2.0,NFC,2009,
DET,2,14,.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2,NFC,2009,
NOR,13,3,.813,510,341,169,10.6,0.2,10.8,11.2,-0.5,NFC,2009,
ATL,9,7,.563,363,325,38,2.4,2.7,5.0,2.7,2.3,NFC,2009,
CAR,8,8,.500,315,308,7,0.4,3.5,3.9,-0.6,4.5,NFC,2009,
TAM,3,13,.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,NFC,2009,
ARI,10,6,.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,NFC,2009,
SFO,8,8,.500,330,281,49,3.1,-3.0,0.1,-2.9,3.0,NFC,2009,
SEA,5,11,.313,280,390,-110,-6.9,-2.4,-9.3,-5.0,-4.4,NFC,2009,
STL,1,15,.063,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8,NFC,2009,
NWE,14,2,.875,518,313,205,12.8,2.6,15.4,12.6,2.8,AFC,2010,
NYJ,11,5,.688,367,304,63,3.9,2.5,6.5,2.2,4.2,AFC,2010,
MIA,7,9,.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,AFC,2010,
BUF,4,12,.250,283,425,-142,-8.9,4.3,-4.6,-1.5,-3.1,AFC,2010,
PIT,12,4,.750,375,232,143,8.9,1.3,10.2,2.5,7.7,AFC,2010,
BAL,12,4,.750,357,270,87,5.4,1.0,6.4,0.9,5.5,AFC,2010,
CLE,5,11,.313,271,332,-61,-3.8,2.3,-1.5,-3.4,2.0,AFC,2010,
CIN,4,12,.250,322,395,-73,-4.6,3.1,-1.4,0.4,-1.9,AFC,2010,
IND,10,6,.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9,AFC,2010,
JAX,8,8,.500,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3,AFC,2010,
HOU,6,10,.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7,AFC,2010,
TEN,6,10,.375,356,339,17,1.1,0.0,1.0,-0.9,1.9,AFC,2010,
KAN,10,6,.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8,AFC,2010,
SDG,9,7,.563,441,322,119,7.4,-2.6,4.8,3.2,1.6,AFC,2010,
OAK,8,8,.500,410,371,39,2.4,-2.3,0.2,2.3,-2.2,AFC,2010,
DEN,4,12,.250,344,471,-127,-7.9,-1.0,-8.9,-1.1,-7.8,AFC,2010,
PHI,10,6,.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,NFC,2010,
NYG,10,6,.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,NFC,2010,
DAL,6,10,.375,394,436,-42,-2.6,0.5,-2.2,2.5,-4.7,NFC,2010,
WAS,6,10,.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,NFC,2010,
CHI,11,5,.688,334,286,48,3.0,1.1,4.1,-0.6,4.7,NFC,2010,
GNB,10,6,.625,388,240,148,9.3,1.7,10.9,3.1,7.9,NFC,2010,
DET,6,10,.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,NFC,2010,
MIN,6,10,.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,NFC,2010,
ATL,13,3,.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,NFC,2010,
NOR,11,5,.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,NFC,2010,
TAM,10,6,.625,341,318,23,1.4,-2.0,-0.6,-1.0,0.4,NFC,2010,
CAR,2,14,.125,196,408,-212,-13.3,0.1,-13.2,-9.1,-4.1,NFC,2010,
SEA,7,9,.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,NFC,2010,
STL,7,9,.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,NFC,2010,
SFO,6,10,.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,NFC,2010,
ARI,5,11,.313,289,434,-145,-9.1,-3.6,-12.7,-5.6,-7.1,NFC,2010,
NWE,13,3,.813,513,342,171,10.7,-1.4,9.3,9.4,-0.1,AFC,2011,
NYJ,8,8,.500,377,363,14,0.9,0.0,0.9,1.2,-0.3,AFC,2011,
MIA,6,10,.375,329,313,16,1.0,-0.1,0.9,-2.2,3.2,AFC,2011,
BUF,6,10,.375,372,434,-62,-3.9,0.5,-3.4,1.2,-4.5,AFC,2011,
BAL,12,4,.750,378,266,112,7.0,-0.9,6.1,2.6,3.5,AFC,2011,
PIT,12,4,.750,325,227,98,6.1,-0.8,5.3,-0.8,6.0,AFC,2011,
CIN,9,7,.563,344,323,21,1.3,-0.9,0.5,0.7,-0.2,AFC,2011,
