,schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,point_diff,spread_favorite_covered
8722,10/2/2005,2005,4,False,CIN,16,10,HOU,,,41.5,Paul Brown Stadium,False,71.0,5.0,75.0,,6,False
8723,10/2/2005,2005,4,False,JAX,7,20,DEN,,,37.5,EverBank Field,False,83.0,15.0,73.0,,-13,False
8724,10/2/2005,2005,4,False,KC,31,37,PHI,,,46.5,Arrowhead Stadium,False,75.0,19.0,74.0,,-6,False
8725,10/2/2005,2005,4,False,NE,17,41,SD,,,47,Gillette Stadium,False,60.0,9.0,73.0,,-24,False
8726,10/2/2005,2005,4,False,NO,19,7,BUF,,,38.5,Alamo Dome,True,72.0,0.0,,indoor,12,False
8727,10/2/2005,2005,4,False,NYG,44,24,STL,,,46,Giants Stadium,False,68.0,6.0,55.0,,20,False
8728,10/2/2005,2005,4,False,OAK,19,13,DAL,,,46,Oakland Coliseum,False,60.0,14.0,74.0,,6,False
8729,10/2/2005,2005,4,False,TB,17,13,DET,,,35,Raymond James Stadium,False,81.0,11.0,74.0,,4,False
8730,10/2/2005,2005,4,False,TEN,10,31,IND,,,45,Nissan Stadium,False,75.0,6.0,70.0,,-21,False
8731,10/2/2005,2005,4,False,Washington Redskins,20,17,SEA,,,37,FedEx Field,False,68.0,5.0,60.0,,3,False
8732,10/3/2005,2005,4,False,CAR,32,29,GB,,,43,Bank of America Stadium,False,71.0,7.0,61.0,,3,False
8733,10/9/2005,2005,5,False,ARI,20,24,CAR,,,42,University of Phoenix Stadium,False,81.0,14.0,22.0,,-4,False
8734,10/9/2005,2005,5,False,ATL,28,31,NE,,,43.5,Georgia Dome,False,72.0,0.0,,indoor,-3,False
8735,10/9/2005,2005,5,False,BUF,20,14,MIA,,,33,Ralph Wilson Stadium,False,48.0,11.0,76.0,,6,False
8736,10/9/2005,2005,5,False,CLE,20,10,CHI,,,35,FirstEnergy Stadium,False,53.0,11.0,81.0,,10,False
8737,10/9/2005,2005,5,False,DAL,33,10,PHI,,,44,Texas Stadium,False,64.0,9.0,47.0,,23,False
8738,10/9/2005,2005,5,False,DEN,21,19,Washington Redskins,,,34.5,Sports Authority Field at Mile High,False,56.0,16.0,51.0,,2,False
8739,10/9/2005,2005,5,False,DET,35,17,BAL,,,33,Ford Field,False,72.0,0.0,,indoor,18,False
8740,10/9/2005,2005,5,False,GB,52,3,NO,,,41,Lambeau Field,False,44.0,7.0,79.0,,49,False
8741,10/9/2005,2005,5,False,HOU,20,34,TEN,,,40.5,Reliant Stadium,False,72.0,0.0,,indoor,-14,False
8742,10/9/2005,2005,5,False,JAX,23,20,CIN,,,38,EverBank Field,False,79.0,7.0,86.0,,3,False
8743,10/9/2005,2005,5,False,NYJ,14,12,TB,,,32,Giants Stadium,False,60.0,13.0,86.0,,2,False
8744,10/9/2005,2005,5,False,SF,3,28,IND,,,47,Candlestick Park,False,58.0,15.0,70.0,,-25,False
8745,10/9/2005,2005,5,False,STL,31,37,SEA,,,48,Edward Jones Dome,False,72.0,0.0,,indoor,-6,False
8746,10/10/2005,2005,5,False,SD,22,24,PIT,,,45.5,Qualcomm Stadium,False,65.0,5.0,69.0,,-2,False
8747,10/16/2005,2005,6,False,BAL,16,3,CLE,,,33.5,M&T Bank Stadium,False,57.0,14.0,54.0,,13,False
8748,10/16/2005,2005,6,False,BUF,27,17,NYJ,,,33,Ralph Wilson Stadium,False,52.0,16.0,71.0,,10,False
8749,10/16/2005,2005,6,False,CHI,28,3,MIN,,,37.5,Soldier Field,False,53.0,9.0,53.0,,25,False
8750,10/16/2005,2005,6,False,DAL,16,13,NYG,,,45.5,Texas Stadium,False,73.0,6.0,40.0,,3,False
8751,10/16/2005,2005,6,False,DEN,28,20,NE,,,44,Sports Authority Field at Mile High,False,57.0,12.0,48.0,,8,False
8752,10/16/2005,2005,6,False,DET,20,21,CAR,,,42,Ford Field,False,72.0,0.0,,indoor,-1,False
8753,10/16/2005,2005,6,False,KC,28,21,Washington Redskins,,,42.5,Arrowhead Stadium,False,64.0,10.0,46.0,,7,False
8754,10/16/2005,2005,6,False,NO,31,34,ATL,,,42,Alamo Dome,True,72.0,0.0,,indoor,-3,False
8755,10/16/2005,2005,6,False,OAK,14,27,SD,,,50.5,Oakland Coliseum,False,60.0,10.0,64.0,,-13,False
8756,10/16/2005,2005,6,False,PIT,17,23,JAX,,,36,Heinz Field,False,50.0,14.0,68.0,,-6,False
8757,10/16/2005,2005,6,False,SEA,42,10,HOU,,,45.5,CenturyLink Field,False,55.0,11.0,84.0,,32,False
8758,10/16/2005,2005,6,False,TB,27,13,MIA,,,33,Raymond James Stadium,False,75.0,8.0,61.0,,14,False
8759,10/16/2005,2005,6,False,TEN,23,31,CIN,,,44.5,Nissan Stadium,False,63.0,6.0,35.0,,-8,False
8760,10/17/2005,2005,6,False,IND,45,28,STL,,,50.5,RCA Dome,False,72.0,0.0,,indoor,17,False
8761,10/21/2005,2005,7,False,MIA,20,30,KC,,,42.5,Sun Life Stadium,False,81.0,9.0,83.0,,-10,False
8762,10/23/2005,2005,7,False,ARI,20,10,TEN,,,45,University of Phoenix Stadium,False,75.0,6.0,36.0,,10,False
8763,10/23/2005,2005,7,False,CHI,10,6,BAL,,,32,Soldier Field,False,41.0,8.0,82.0,,4,False
8764,10/23/2005,2005,7,False,CIN,13,27,PIT,,,43,Paul Brown Stadium,False,47.0,6.0,87.0,,-14,False
8765,10/23/2005,2005,7,False,CLE,10,13,DET,,,36,FirstEnergy Stadium,False,46.0,7.0,78.0,,-3,False
8766,10/23/2005,2005,7,False,HOU,20,38,IND,,,44.5,Reliant Stadium,False,72.0,0.0,,indoor,-18,False
8767,10/23/2005,2005,7,False,MIN,23,20,GB,,,46,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,3,False
8768,10/23/2005,2005,7,False,NYG,24,23,DEN,,,46.5,Giants Stadium,False,52.0,19.0,72.0,,1,False
8769,10/23/2005,2005,7,False,OAK,38,17,BUF,,,42,Oakland Coliseum,False,58.0,9.0,86.0,,21,False
